,mean,median,std,
layer1_original,0.500439969,0.42949456,0.464984762,layer1
layer1_noised_0.2,0.516174088,0.446942825,0.470822119,layer1
layer1_noised_0.4,0.542508468,0.458995595,0.505182947,layer1
layer1_noised_0.6,0.573859048,0.47017029,0.551687698,layer1
layer1_noised_0.8,0.607409076,0.4753535,0.605582878,layer1
layer1_noised_1.0,0.640597134,0.48351879,0.65632455,layer1
,,,,
layer2_original,0.181303001,0.008323297,0.282238821,layer2
layer2_noised_0.2,0.176587542,0.002475508,0.273086619,layer2
layer2_noised_0.4,0.176038323,0.001690824,0.271357543,layer2
layer2_noised_0.6,0.175734213,0,0.274049982,layer2
layer2_noised_0.8,0.182737398,0,0.284789069,layer2
layer2_noised_1.0,0.185157962,0,0.291990569,layer2
,,,,
layer3_original,0.120959649,0,0.213291347,layer3
layer3_noised_0.2,0.117968062,0,0.204626057,layer3
layer3_noised_0.4,0.117082251,0,0.194077428,layer3
layer3_noised_0.6,0.115552141,0,0.186458609,layer3
layer3_noised_0.8,0.116472907,0.005958989,0.182682388,layer3
layer3_noised_1.0,0.115503799,0.007046485,0.178704434,layer3
,,,,
layer4_original,0.841277733,0.36788714,1.175850295,layer4
layer4_noised_0.2,0.857322388,0.35305578,1.246885929,layer4
layer4_noised_0.4,0.917970283,0.363359335,1.367356695,layer4
layer4_noised_0.6,0.949721476,0.32682891,1.477975998,layer4
layer4_noised_0.8,0.929749107,0.27986607,1.469456701,layer4
layer4_noised_1.0,0.941017344,0.200765785,1.496861741,layer4
